89,-24
-12,79
1,12
-39,53
38,-55
-85,99
-90,80
-81,74
-73,60
5,40
-5,70
59,-9
31,-48
69,6
-30,78
28,-64
-42,64
20,84
-19,-67
-47,-97
87,-1
21,85
-13,-34
62,-46
-4,19
34,51
76,0
7,-95
-88,-61
-23,-92
48,-22
-68,-18
-52,45
-63,-86
9,67
55,50
93,-83
90,-36
75,16
100,95
-70,47
-56,61
82,-3
66,-40
63,37
-71,73
81,-49
18,-25
-100,-91
-84,-28
-77,11
-51,-44
77,58
-93,88
36,-96
-94,26
24,-76
-8,30
25,27
44,68
86,97
-14,-35
10,-60
-80,-72
29,42
-38,41
-43,23
-17,-65
96,65
-26,39
-74,-59
32,-31
22,2
15,-20
-89,-54
-33,83
43,-66
-50,-87
-16,-99
-45,49
13,46
-7,91
35,33
92,-29
-62,54
94,8
56,72
-6,-15
98,71
4,3
14,-78
-79,-27
-98,57
-21,-82
52,-32
-75,-69
-53,17
-41,-10
-37,-58
-57,-2
